season,date,stadium,awayTeam,homeTeam,awayScores,homeScores,away_total_score,home_total_score,total_score,high_score,home_win,H,HR,2B,3B,BB,SO
中職2024年,2024-09-26 18:35:00,新北市立新莊棒球場,樂天桃猿,富邦悍將,"['3', '2', '0', '0', '0', '0', '3', '2', '0']","['0', '0', '2', '0', '1', '3', '0', '0', '0']",10,6,16,1,0,25,1,1,2,6,19
中職2024年,2024-10-01 18:35:00,臺中市洲際棒球場,台鋼雄鷹,中信兄弟,"['1', '0', '2', '0', '0', '0', '0', '1', '0']","['0', '1', '5', '0', '2', '0', '0', '0', '0']",4,8,12,1,1,20,0,5,1,8,12
中職2024年,2024-07-06 17:06:00,臺北大巨蛋,中信兄弟,統一7-ELEVEn獅,"['0', '0', '0', '0', '1', '0', '0', '0', '2']","['1', '0', '0', '0', '0', '0', '1', '0', '0']",3,2,5,0,0,10,2,2,0,3,16
中職2024年,2024-09-06 18:35:00,嘉義市立棒球場,富邦悍將,台鋼雄鷹,"['0', '0', '0', '0', '0', '3', '2', '0', '3']","['0', '0', '1', '0', '0', '0', '0', '0', '2']",8,3,11,1,0,18,1,2,1,8,15
中職2024年,2024-08-06 18:35:00,樂天桃園棒球場,台鋼雄鷹,樂天桃猿,"['0', '0', '0', '1', '3', '2', '0', '0', '1']","['0', '0', '1', '0', '0', '0', '2', '0', '3']",7,6,13,1,0,23,2,4,1,9,13
中職2024年,2024-04-30 18:35:00,澄清湖棒球場,統一7-ELEVEn獅,台鋼雄鷹,"['0', '0', '0', '3', '0', '3', '3', '0', '1']","['0', '0', '1', '0', '0', '1', '0', '0', '0']",10,2,12,1,0,24,2,5,0,4,20
中職2024年,2024-05-22 18:35:00,臺北市立天母棒球場,統一7-ELEVEn獅,味全龍,"['0', '1', '0', '0', '1', '0', '2', '0', '0']","['1', '0', '0', '0', '0', '0', '0', '1', '0']",4,2,6,0,0,13,3,2,1,6,13
中職2024年,2024-08-04 17:05:00,花蓮縣立德興棒球場,樂天桃猿,味全龍,"['1', '0', '2', '0', '0', '0', '0', '0', '0']","['0', '0', '0', '2', '0', '3', '0', '0', '0']",3,5,8,0,1,12,2,4,0,3,10
中職2024年,2024-04-14 13:42:00,臺南市立棒球場,台鋼雄鷹,統一7-ELEVEn獅,"['2', '0', '0', '0', '0', '0', '1', '0', '0']","['0', '1', '0', '0', '0', '0', '3', '0', '0']",3,4,7,0,1,18,0,1,0,10,12
中職2024年,2024-06-08 17:06:00,臺中市洲際棒球場,台鋼雄鷹,中信兄弟,"['0', '0', '0', '0', '0', '1', '0', '0', '0']","['0', '0', '0', '0', '1', '2', '0', '0', '0']",1,3,4,0,1,17,0,0,0,8,15
